1. ¿De dónde nos visitas?,1.1 ¿De qué municipio del estado de Hidalgo perteneces?,2. ¿En qué rango de edad te encuentras?,3. ¿Con qué género te identificas?,4. ¿Con qué frecuencia realizas viajes dentro de México?,5. ¿Cuántas veces ha visitado alguno de los destinos turísticos de Hidalgo en los últimos 24 meses?,6. ¿Qué tanto te motiva principalmente a viajar los siguientes aspectos?,7. Los medios donde buscas inspiración para elegir destinos en Hidalgo.,8. En cuanto a la confianza y uso de las tecnologías indica tu nivel en que estas de acuerdo con las siguientes frases:,9. ¿Qué factor influye más en tu decisión de seguir una recomendación turística?,10. En una escala del 1 al 5 donde 1 es Nada valioso y 5 es Muy valioso ¿Cómo sería para ti que una app turística te recomiende comercios y experiencias locales auténticas?,"11. De una escala del 1 al 5 donde 1 es Totalmente en desacuerdo y 5 es Totalmente de acuerdo. Indica que tanto estás de acuerdo con la siguiente frase:  ""Me sentiría más confiado/a usando una app turística si sé que las recomendaciones están validadas por personas locales o por una institución oficial.”",12. ¿Qué tipo de información consideras más importante?,13. ¿Con qué frecuencia has enfrentado los siguientes problemas al viajar?,"14. En una escala del 1 al 5,  donde 1 es nada probable y 5 muy probable. ¿Qué tan probable es que uses una app oficial del estado de Hidalgo para planear y vivir tus viajes?",15. ¿Qué funciones consideras indispensables en una app de viajes?,16. ¿Qué haría que dejaras de usar una app turística? (Selecciona 3 opciones),"17. En una frase, ¿qué esperas de una app turística ideal para viajar en Hidalgo?"
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",40–49 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,4.0,Comercios y servicios cercanos,Mala experiencia de uso,Que sea información verdadera 
"Michoacán, México",,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,Otro,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,,Información offline,Recomendaciones poco confiables,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Ciudad de México, México",,40–49 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,Otro,La información suele ser clara y actualizada,,5.0,5.0,Recomendaciones cercanas,Poca visibilidad de comercios locales,5.0,Comercios y servicios cercanos,Información falsa o incompleta,Que sea confiable 
"Hidalgo, México","Tepeji del Río de Ocampo, Hidalgo, México",40–49 años,Mujer,Varias veces al año,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,4.0,5.0,Seguridad,Falta de información en el momento exacto,4.0,Recomendaciones locales confiables,Información falsa o incompleta,Seguridad 
"Hidalgo, México","Tlaxcoapan, Hidalgo, México",40–49 años,Mujer,Varias veces al año,3 veces,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,4.0,4.0,Horarios actualizados,Recomendaciones poco confiables,4.0,Uso sin conexión,Exceso de publicidad,.
"Hidalgo, México","Actopan, Hidalgo, México",50–59 años,Hombre,Muy rara vez,2 veces,Gastronomía,No busco inspiración,Confío en sus recomendaciones,Cercanía / ubicación,3.0,2.0,Horarios actualizados,Recomendaciones poco confiables,2.0,Rutas sugeridas,Información falsa o incompleta,Confiable 
"Estado de México, México",,18–29 años,Mujer,Muy rara vez,1 vez,Naturaleza,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Segura y confiable 
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Mapas y rutas,Falta de información en el momento exacto,5.0,Eventos y experiencias locales,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Que sea confiable y con mucha información
"Ciudad de México, México",,30–39 años,Mujer,Varias veces al año,1 vez,Naturaleza,Otro,La información suele ser clara y actualizada,Opiniones de otros usuarios,4.0,3.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad",Una grata experiencia y una bonita experiencia 
"Hidalgo, México","Ixmiquilpan, Hidalgo, México",18–29 años,Hombre,Esporádicamente,2 veces,Cultura / Historia,Redes Sociales,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Eventos o actividades del día,Demasiadas opciones sin guía,,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",
"Estado de México, México",,18–29 años,Hombre,,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me generan seguridad para tomar decisiones,Precio,5.0,3.0,Eventos o actividades del día,Poca visibilidad de comercios locales,2.0,Eventos y experiencias locales,Exceso de publicidad,Comoda
"Querétaro, México",,30–39 años,Mujer,Varias veces al año,2 veces,Aventura,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Morelos, México",,30–39 años,Hombre,Una vez al año,1 vez,Viaje Familiar,Otro,Me generan seguridad para tomar decisiones,Que se trate de una plataforma oficial,5.0,5.0,Seguridad,Recomendaciones poco confiables,5.0,Información verificada,Exceso de publicidad,
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,2 veces,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,5.0,Seguridad,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,Mujer,Varias veces al año,4 veces o más,Aventura,Otro,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,5.0,Seguridad,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad",
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Aventura,Otro,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,5.0,Información offline,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,2 veces,Aventura,Google,La información suele ser clara y actualizada,Que se trate de una plataforma oficial,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Aventura,Otro,La información suele ser clara y actualizada,Que se trate de una plataforma oficial,5.0,5.0,Información offline,Recomendaciones poco confiables,5.0,Información verificada,Información falsa o incompleta,
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Información offline,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Otro: Información verídica,Fotos reales,5.0,5.0,Recomendaciones cercanas,Otro: Rara la vez se da algunos problemas,5.0,Información verificada,Información falsa o incompleta,Confiable 
"Ciudad de México, México",,40–49 años,Hombre,Varias veces al año,1 vez,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",
"Ciudad de México, México",,40–49 años,Mujer,Varias veces al año,2 veces,Aventura,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Recomendación local,5.0,5.0,Horarios actualizados,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso",
"Estado de México, México",,50–59 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Precio,5.0,5.0,Seguridad,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Puebla, México",,50–59 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Precio,5.0,5.0,Seguridad,Falta de información en el momento exacto,4.0,Información verificada,Exceso de publicidad,Confiabilidad y Seguridad 
"Ciudad de México, México",,18–29 años,Hombre,Una vez al año,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Opiniones de otros usuarios,2.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,2.0,Rutas sugeridas,"Exceso de publicidad, Falta de valor real, No confiar en las recomendaciones",Que me de información actualizada y real
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Esporádicamente,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Fotos reales,4.0,3.0,Recomendaciones cercanas,Recomendaciones poco confiables,3.0,Información verificada,Información falsa o incompleta,Buenas recomendaciones 
"Estado de México, México",,18–29 años,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Recomendaciones cercanas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,Mala experiencia de uso,"
Información completa sobre los sitios y opiniones"
"Estado de México, México",,18–29 años,Mujer,Una vez al año,1 vez,Cultura / Historia,Redes Sociales,Me generan seguridad para tomar decisiones,Fotos reales,5.0,5.0,Eventos o actividades del día,Poca visibilidad de comercios locales,5.0,Eventos y experiencias locales,Información falsa o incompleta,"Que sea confiable, segura, apoye al comercio local"
"Hidalgo, México","Tepeapulco, Hidalgo, México",18–29 años,Hombre,Esporádicamente,3 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso","Información actualizada y confiable de todo uso como rutas, gastronomía, etc.
"
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,5.0,Horarios actualizados,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad","Que sea segura 
"
"Estado de México, México",,30–39 años,Mujer,Varias veces al año,4 veces o más,Otro: Deporte y naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Que se trate de una plataforma oficial,5.0,5.0,Eventos o actividades del día,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,Información falsa o incompleta,"Que incluya los atractivos de cada región o municipio con información puntual de horarios, costos de accesos, recomendaciones de servicios. "
"Hidalgo, México","Atitalaquia, Hidalgo, México",18–29 años,Hombre,Varias veces al año,4 veces o más,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Que se trate de una plataforma oficial,5.0,5.0,Horarios actualizados,Información desactualizada,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Hidalgo, México","Atotonilco el Grande, Hidalgo, México",60 años o más,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Fotos reales,5.0,5.0,Seguridad,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Nuevo León, México",,40–49 años,Mujer,Varias veces al año,1 vez,Aventura,Otro,Me generan seguridad para tomar decisiones,Que se trate de una plataforma oficial,5.0,5.0,Información offline,Falta de información en el momento exacto,5.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",
"Estado de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,5.0,,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Información clara
"Veracruz de Ignacio de la Llave, México",,40–49 años,Mujer,Varias veces al año,1 vez,Naturaleza,Google,Me generan seguridad para tomar decisiones,Que se trate de una plataforma oficial,5.0,5.0,Seguridad,Información desactualizada,5.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, No confiar en las recomendaciones",Seguridad y confianza 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,2.0,3.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,Información falsa o incompleta,
"Ciudad de México, México",,30–39 años,Hombre,Una vez al año,1 vez,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,3.0,3.0,Mapas y rutas,Información desactualizada,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Exceso de publicidad",
"Hidalgo, México","Tula de Allende, Hidalgo, México",18–29 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,3.0,Seguridad,Poca visibilidad de comercios locales,3.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",18–29 años,Mujer,Esporádicamente,3 veces,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,3.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza 
"Hidalgo, México","Progreso de Obregón, Hidalgo, México",18–29 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, No confiar en las recomendaciones",Seguridad 
"Estado de México, México",,40–49 años,Hombre,Esporádicamente,3 veces,Gastronomía,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Mapas y rutas,Poca visibilidad de comercios locales,4.0,Información verificada,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real", Caridad 
"Hidalgo, México","Atitalaquia, Hidalgo, México",18–29 años,Hombre,Una vez al año,2 veces,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Rutas sugeridas,Falta de valor real,Mayor  seguridad 
"Estado de México, México",,18–29 años,Mujer,Una vez al año,1 vez,Naturaleza,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Mapas y rutas,Demasiadas opciones sin guía,5.0,Información verificada,Falta de valor real,
"Estado de México, México",,50–59 años,Hombre,Una vez al año,1 vez,Viaje Familiar,Otro,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Recomendaciones cercanas,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,Falta de valor real,Mayor seguridad 
"Hidalgo, México","Atitalaquia, Hidalgo, México",30–39 años,Mujer,Esporádicamente,1 vez,Naturaleza,Google,La información suele ser clara y actualizada,Cercanía / ubicación,5.0,5.0,Mapas y rutas,,5.0,Comercios y servicios cercanos,Información falsa o incompleta,Información actualizada 
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Hombre,Varias veces al año,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Precio,3.0,4.0,Seguridad,Demasiadas opciones sin guía,4.0,Información verificada,Información falsa o incompleta,Confianza 
"Hidalgo, México","Tlahuelilpan, Hidalgo, México",30–39 años,Hombre,Muy rara vez,1 vez,Viaje Familiar,Google,,Precio,4.0,4.0,Seguridad,Demasiadas opciones sin guía,3.0,Rutas sugeridas,Exceso de publicidad,Amplia
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Hombre,Varias veces al año,4 veces o más,Viaje Familiar,Google,Confío en sus recomendaciones,Precio,2.0,3.0,Recomendaciones cercanas,Información desactualizada,2.0,Rutas sugeridas,Mala experiencia de uso,Seguridad   en la información 
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Hombre,Una vez al año,4 veces o más,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Precio,1.0,3.0,Horarios actualizados,Recomendaciones poco confiables,3.0,Información verificada,"Exceso de publicidad, Mala experiencia de uso",Confiable 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",18–29 años,Mujer,Muy rara vez,4 veces o más,Viaje Familiar,Redes Sociales,La información suele ser clara y actualizada,Opiniones de otros usuarios,3.0,3.0,Recomendaciones cercanas,Demasiadas opciones sin guía,3.0,Comercios y servicios cercanos,Mala experiencia de uso,Confiable  la información  verdadera
"Hidalgo, México","Tepeji del Río de Ocampo, Hidalgo, México",50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Cercanía / ubicación,3.0,3.0,Seguridad,Recomendaciones poco confiables,3.0,Información verificada,Mala experiencia de uso,Segura  la información y confianza 
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,3 veces,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Precio,3.0,3.0,Mapas y rutas,Poca visibilidad de comercios locales,3.0,Información verificada,Exceso de publicidad,Actualizado 
"Hidalgo, México","Atotonilco de Tula, Hidalgo, México",30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,Google,La información suele ser clara y actualizada,Cercanía / ubicación,3.0,2.0,Seguridad,Falta de información en el momento exacto,2.0,Información verificada,"Exceso de publicidad, Mala experiencia de uso",Facilida de operación 
"Estado de México, México",,30–39 años,Mujer,Esporádicamente,1 vez,Viaje Familiar,Otro,Confío en sus recomendaciones,Precio,3.0,4.0,Seguridad,Información desactualizada,2.0,Información verificada,Exceso de publicidad,Certera
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Mujer,Varias veces al año,2 veces,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Recomendación local,1.0,1.0,Recomendaciones cercanas,Información desactualizada,1.0,Comercios y servicios cercanos,Exceso de publicidad,Recomendación  sean precisas 
"Hidalgo, México","Tlaxcoapan, Hidalgo, México",30–39 años,Mujer,Una vez al año,2 veces,Viaje Familiar,Redes Sociales,Confío en sus recomendaciones,Precio,2.0,3.0,Horarios actualizados,Información desactualizada,3.0,Rutas sugeridas,Mala experiencia de uso,Que sea de facil  de entender 
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Mujer,Esporádicamente,2 veces,Viaje Familiar,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Cercanía / ubicación,2.0,2.0,Recomendaciones cercanas,Demasiadas opciones sin guía,2.0,Información verificada,Falta de valor real,Verifica la información  para llegar como información 
"Hidalgo, México","Tula de Allende, Hidalgo, México",40–49 años,Mujer,Varias veces al año,3 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Precio,3.0,3.0,Seguridad,Recomendaciones poco confiables,3.0,Información verificada,Mala experiencia de uso,Información  verificada
"Hidalgo, México","Tula de Allende, Hidalgo, México",,Hombre,Muy rara vez,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Ciudad de México, México",,40–49 años,Hombre,Muy rara vez,4 veces o más,Viaje Familiar,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Opiniones de otros usuarios,4.0,4.0,Mapas y rutas,Demasiadas opciones sin guía,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad
"Hidalgo, México","Ajacuba, Hidalgo, México",18–29 años,Mujer,Una vez al año,4 veces o más,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Información verificada,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Seguridad 
"Ciudad de México, México",,18–29 años,Hombre,Esporádicamente,3 veces,Aventura,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Seguridad,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Exceso de publicidad, Mala experiencia de uso, Información falsa o incompleta",Confianza 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Confío en sus recomendaciones,Precio,4.0,4.0,Mapas y rutas,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Exceso de publicidad, Falta de valor real",Seguridad
"Hidalgo, México","Tula de Allende, Hidalgo, México",30–39 años,Hombre,Esporádicamente,4 veces o más,Gastronomía,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,5.0,4.0,Seguridad,Información desactualizada,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Claridad
"Estado de México, México",,18–29 años,Hombre,Esporádicamente,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Precio,4.0,4.0,Seguridad,Recomendaciones poco confiables,4.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Confianza
"Estado de México, México",,40–49 años,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Información desactualizada,3.0,Rutas sugeridas,Información falsa o incompleta,Viaja seguro 
"Ciudad de México, México",,18–29 años,Mujer,Muy rara vez,2 veces,Descanso / relajación,No busco inspiración,Me ayudan a ahorrar tiempo,Cercanía / ubicación,3.0,3.0,Recomendaciones cercanas,Falta de información en el momento exacto,3.0,Rutas sugeridas,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real","Confiable
"
"Colima, México",,50–59 años,Hombre,Varias veces al año,4 veces o más,Naturaleza,Google,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Seguridad,Poca visibilidad de comercios locales,5.0,Información verificada,"Exceso de publicidad, Información falsa o incompleta, No confiar en las recomendaciones",Que dieran a conocer o9s lugares a visitar
"Estado de México, México",,40–49 años,Hombre,Varias veces al año,4 veces o más,Aventura,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Mala experiencia de uso, Falta de valor real",Fotos reales y comentarios de la experiencia 
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,2 veces,Naturaleza,Redes Sociales,La información suele ser clara y actualizada,Recomendación local,5.0,4.0,Información offline,Demasiadas opciones sin guía,4.0,Eventos y experiencias locales,Falta de valor real,Confianza
"Estado de México, México",,30–39 años,Mujer,Muy rara vez,1 vez,Naturaleza,Recomendaciones de amigos / familia,Confío en sus recomendaciones,Recomendación local,5.0,5.0,Mapas y rutas,Información desactualizada,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Información precisa
"Ciudad de México, México",,18–29 años,Hombre,Varias veces al año,3 veces,Naturaleza,Otro,La información suele ser clara y actualizada,Opiniones de otros usuarios,5.0,5.0,Seguridad,Recomendaciones poco confiables,5.0,Eventos y experiencias locales,Información falsa o incompleta,Que siempre esté actualizada y que digan la verdad
"Estado de México, México",,18–29 años,Mujer,Esporádicamente,1 vez,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Fotos reales,5.0,4.0,Recomendaciones cercanas,Falta de información en el momento exacto,5.0,Recomendaciones locales confiables,"Información falsa o incompleta, Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Confianza e información correcta
"Estado de México, México",,50–59 años,Mujer,Esporádicamente,2 veces,Naturaleza,No busco inspiración,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Seguridad,Demasiadas opciones sin guía,4.0,Rutas sugeridas,"Información falsa o incompleta, Falta de valor real, Mala experiencia de uso",Información completa 
"Estado de México, México",,40–49 años,Hombre,Esporádicamente,4 veces o más,Naturaleza,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Cercanía / ubicación,5.0,5.0,Recomendaciones cercanas,Recomendaciones poco confiables,5.0,Recomendaciones locales confiables,Información falsa o incompleta,Que te muestre los lugares recomendables y muestra de precios
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",30–39 años,,Varias veces al año,2 veces,Descanso / relajación,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Eventos o actividades del día,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,"Mala experiencia de uso, Información falsa o incompleta",Que sea información confiable
"Hidalgo, México","Pachuca de Soto, Hidalgo, México",40–49 años,Hombre,Varias veces al año,2 veces,Naturaleza,Google,,Precio,5.0,4.0,Seguridad,Demasiadas opciones sin guía,3.0,Información verificada,Exceso de publicidad,Que sea confiable 
"Estado de México, México",,30–39 años,Hombre,Varias veces al año,3 veces,Naturaleza,Redes Sociales,,Fotos reales,5.0,5.0,Eventos o actividades del día,Demasiadas opciones sin guía,5.0,Eventos y experiencias locales,Información falsa o incompleta,Que tenga experiencias
"Hidalgo, México","Acatlán, Hidalgo, México",60 años o más,Mujer,Varias veces al año,4 veces o más,Descanso / relajación,Recomendaciones de amigos / familia,Me ayudan a ahorrar tiempo,Cercanía / ubicación,5.0,5.0,Seguridad,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Exceso de publicidad, Falta de valor real, Información falsa o incompleta",Las recomendaciones
"Estado de México, México",,60 años o más,Hombre,Varias veces al año,4 veces o más,Descanso / relajación,Google,Me ayudan a ahorrar tiempo,Precio,5.0,5.0,Recomendaciones cercanas,Información desactualizada,5.0,Recomendaciones locales confiables,"Exceso de publicidad, Información falsa o incompleta, Falta de valor real",Información real sin mercadotecnia con información actualizada..
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Naturaleza,Otro,Confío en sus recomendaciones,Precio,5.0,5.0,Horarios actualizados,Falta de información en el momento exacto,4.0,Información verificada,"Exceso de publicidad, Falta de valor real",Que sirva
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,4 veces o más,Otro,La información suele ser clara y actualizada,Recomendación local,4.0,5.0,Horarios actualizados,Poca visibilidad de comercios locales,5.0,Recomendaciones locales confiables,"Falta de valor real, Exceso de publicidad, Mala experiencia de uso",Que tenga información actualizada 
"Hidalgo, México","Atlapexco, Hidalgo, México",40–49 años,Hombre,Esporádicamente,3 veces,Descanso / relajación,Recomendaciones de amigos / familia,La información suele ser clara y actualizada,Fotos reales,5.0,4.0,Horarios actualizados,Información desactualizada,5.0,Eventos y experiencias locales,Mala experiencia de uso,Que cuente con precios
"Ciudad de México, México",,30–39 años,Hombre,Esporádicamente,3 veces,Cultura / Historia,Otro,Confío en sus recomendaciones,Que se trate de una plataforma oficial,4.0,4.0,Horarios actualizados,Poca visibilidad de comercios locales,4.0,Recomendaciones locales confiables,"Información falsa o incompleta, Falta de valor real, Exceso de publicidad",Que tenga buenas precios
"Ciudad de México, México",,60 años o más,Mujer,Varias veces al año,4 veces o más,Viaje Familiar,Redes Sociales,Me ayudan a ahorrar tiempo,Fotos reales,5.0,5.0,Mapas y rutas,Recomendaciones poco confiables,4.0,Recomendaciones locales confiables,"Exceso de publicidad, Mala experiencia de uso, Falta de valor real",Que sea verídica y actualizada
